,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
100,2022-01-12,995.5265178593103,874.6703303902034,1127.9542919965888,995.5265178593103,995.5265178593103,6.373394216078788,6.373394216078788,6.373394216078788,6.373394216078788,6.373394216078788,6.373394216078788,0.0,0.0,0.0,1001.899912075389
101,2022-01-13,994.0932713502257,872.4030808229008,1123.917604100458,994.0932713502257,994.0932713502257,-0.15582663018698797,-0.15582663018698797,-0.15582663018698797,-0.15582663018698797,-0.15582663018698797,-0.15582663018698797,0.0,0.0,0.0,993.9374447200387
102,2022-01-14,992.6600248411412,864.8639732182285,1110.7262617057538,992.6600248411412,992.6600248411412,-4.287081330280235,-4.287081330280235,-4.287081330280235,-4.287081330280235,-4.287081330280235,-4.287081330280235,0.0,0.0,0.0,988.372943510861
103,2022-01-18,986.927038804803,858.8963693198504,1116.43889208029,986.927038804803,986.927038804803,2.1100177006035965,2.1100177006035965,2.1100177006035965,2.1100177006035965,2.1100177006035965,2.1100177006035965,0.0,0.0,0.0,989.0370565054067
104,2022-01-19,985.4937922957184,860.646573849134,1116.1056957841345,985.4937922957184,985.4937922957184,6.373394216079807,6.373394216079807,6.373394216079807,6.373394216079807,6.373394216079807,6.373394216079807,0.0,0.0,0.0,991.8671865117982
105,2022-01-20,984.0605457865001,859.9393579093705,1110.3562951799993,984.0605457865001,984.0605457865001,-0.15582663018024007,-0.15582663018024007,-0.15582663018024007,-0.15582663018024007,-0.15582663018024007,-0.15582663018024007,0.0,0.0,0.0,983.9047191563199
106,2022-01-21,982.6272992772818,840.0353418979194,1104.4916529320615,982.6272992772818,982.6272992772818,-4.2870813302955915,-4.2870813302955915,-4.2870813302955915,-4.2870813302955915,-4.2870813302955915,-4.2870813302955915,0.0,0.0,0.0,978.3402179469863
107,2022-01-24,978.3275597496266,865.8344267562994,1114.7780583644044,978.3275597496266,978.3275597496266,12.615035359635467,12.615035359635467,12.615035359635467,12.615035359635467,12.615035359635467,12.615035359635467,0.0,0.0,0.0,990.9425951092621
108,2022-01-25,976.8943132404081,850.9347436371642,1105.2503348785444,976.8943132404081,976.8943132404081,2.1100177006128455,2.1100177006128455,2.1100177006128455,2.1100177006128455,2.1100177006128455,2.1100177006128455,0.0,0.0,0.0,979.004330941021
109,2022-01-26,975.4610667311898,862.9047704582684,1108.0476034467433,975.4610667311898,975.4610667311898,6.373394216072508,6.373394216072508,6.373394216072508,6.373394216072508,6.373394216072508,6.373394216072508,0.0,0.0,0.0,981.8344609472623
110,2022-01-27,974.0278202219714,847.5751006779507,1099.4563442385731,974.0278202219714,974.0278202219714,-0.15582663017349244,-0.15582663017349244,-0.15582663017349244,-0.15582663017349244,-0.15582663017349244,-0.15582663017349244,0.0,0.0,0.0,973.871993591798
111,2022-01-28,972.5945737127531,839.2541412810559,1097.5495228265515,972.5945737127531,972.5945737127531,-4.287081330310951,-4.287081330310951,-4.287081330310951,-4.287081330310951,-4.287081330310951,-4.287081330310951,0.0,0.0,0.0,968.3074923824422
112,2022-01-31,968.2948341850979,848.2207560102871,1111.004223789817,968.2948341850979,968.2948341850979,12.615035359641654,12.615035359641654,12.615035359641654,12.615035359641654,12.615035359641654,12.615035359641654,0.0,0.0,0.0,980.9098695447395
